id;is_bot;firstname;lastname;username;telegram_id;can_join_groups;language_code;is_active
1;true;Industrial hour;Frozen Frozen;disintermediate Automotive Soft;40261;false;Chief Tuna auxiliary;false
2;false;Metal Cambridgeshire pink;Customizable Multi-channelled;Rubber;25226;true;Dollar;true
3;false;brand Integrated bus;Metal Gold;Regional multi-byte synergies;80965;false;capacitor;false
4;true;Strategist Baht Health;Credit;Guadeloupe Auto Australia;97964;false;Open-source logistical India;true
5;false;USB;Arkansas;Jersey directional USB;64017;false;grey programming;true
6;false;Turkey lime systemic;Legacy synergies deposit;Future-proofed Borders;57032;false;Pennsylvania Direct attitude-oriented;true
7;false;Chicken Buckinghamshire mobile;Usability;client-server Dollar holistic;52067;false;Tasty web-enabled input;true
8;false;global Pants withdrawal;Enhanced;circuit Awesome Central;43339;false;Bhutanese deposit JSON;true
9;false;mobile;New Granite incubate;algorithm Computers Cotton;76583;false;Music Groves copying;true
10;true;Tuna;initiatives Ferry;index Metal deposit;74103;false;synthesize;true
